txgrp|ptime|NObs|Variable|Label|N|Mean|Median|StdDev
chemo|baseline|60|AN_NAMES_z_adj|DKEFS Verbal Fluency: anival or clothing and names|60|-0.0734|-0.230|1.263
chemo|baseline|60|BD_RAW_z_adj|WASI: Block Design|60|-0.205|-0.222|0.939
chemo|baseline|60|CFL_z_adj|DKEFS Verbal Fluency|60|-0.0211|-0.0655|1.036
chemo|baseline|60|CVLT_z_adj|CVLT-2: Trials 1-5 Total|60|-0.190|-0.217|1.131
chemo|baseline|60|DCCSORT_z_adj|DKEFS Card Sorting: Confirmed Correct Sorts|60|0.0652|0.266|1.059
chemo|baseline|60|DCOLT_z_adj|DKEFS Stroop: Color Patch Naming|60|-0.191|-0.0495|0.849
chemo|baseline|60|DCSC_z_adj|DKEFS Verbal Fluency: Switching Fruits/Veget|60|-0.0890|-0.0314|1.028
chemo|baseline|60|DCWT_z_adj|DKEFS Stroop: Color-Word|60|-0.254|-0.184|0.805
chemo|baseline|60|DFSDES_z_adj|DKEFS Card Sorting: Free Sorting|60|0.0575|0.213|0.987
chemo|baseline|60|DISCR_z_adj|CPT: Distractibility, Correct Responses|54|-0.150|0.0858|0.928
chemo|baseline|60|DISFP_z_adj|CPT: Distractibility, False Positives|54|0.0428|0.194|0.674
chemo|baseline|60|DISRT_z_adj|CPT: Distractibility, Reaction Time|54|-0.760|-0.652|1.292
chemo|baseline|60|DRECDES_z_adj|DKEFS: Card Sorting, Sort Recognition|60|-0.162|-0.131|0.917
chemo|baseline|60|DST_z_adj|DKEFS: Stroop, Set Shifting|60|-0.0943|-0.145|0.716
chemo|baseline|60|DSY_RAW_z_adj|CVLT-2: Digit Symbol|60|-0.294|-0.400|0.804
chemo|baseline|60|DTR1SC_z_adj|DKEFS Trails: Visual Scanning in Seconds|60|-0.159|-0.146|0.727
chemo|baseline|60|DTR2SC_z_adj|DKEFS Trails: Number Sequencing, sec|60|-0.131|0.0423|1.041
chemo|baseline|60|DTR3SC_z_adj|DKEFS Trails: Letter Sequencing, sec|60|-0.159|-0.0046|0.863
chemo|baseline|60|DTR4SC_z_adj|DKEFS Trails: Number-Letter Switching, sec|60|-0.105|-0.0328|0.609
chemo|baseline|60|DTR5SC_z_adj|DKEFS Trails: Motor Speed, sec|60|-0.283|0.116|1.518
chemo|baseline|60|DWRDT_z_adj|DKEFS Stroop: Word Reading, sec|60|-0.250|-0.110|0.761
chemo|baseline|60|FACE1_z_adj|Wechsler Memory Scale-3: Faces I|59|-0.0774|0.109|1.106
chemo|baseline|60|FACE2_z_adj|Wechsler Memory Scale-3: Faces II|59|-0.123|0.0398|1.009
